Spanish,English
Tiene mucho talento,He is very able
soy capaz de hacer este trabajo,I'm able to do this work
En los contornos,Round about
¿De qué se trata?,What’s it all about?
soñar con algo,to dream about something
estoy en camino de,I'm about to
Distracción,Absence of mind
De acuerdo con,In accordance with
Según,According to
El es acusado de....,He is accused of...
vive al otro lado de la calle,she lives across the street
Hacer el tonto,To act the fool
"Fuera de, además",In addition to
dos habitaciones contiguas,two adjoining rooms
Suspender la sesión,To adjourn the meeting
Un buen consejo,A piece of advice
dar un consejo a alguien,give someone an advice
seguir el consejo de alguien,take someone's advice
te aconsejo que te vayas,I advice you to leave
Aprovecharse de.../ sacar ventaja,take advantage of ...
tengo miedo a/de,I'm afraid of (things /to do things)
tengo miedo a los gatos,I'm afraid of cats
Le da miedo la oscuridad,he's afraid of the dark
Me temo que no venga,I´m afraid she won´t come
No es cosa tuya,Not your affair (business)
Su afectuoso sobrina,Your affectionate niece
Es superior a mis recursos,I cannot afford it
después de pasar el puente,after passing the bridge
Después de…gire a...siga todo recto...,after...turn to...keep straight on
el día siguiente,The day after.
Después de todo,After all
La vida futura,The after life
Nunca jamás,Never again
no lo volví a ver,I never saw him again
¿Qué tienes contra de ella?,What do you have against her?
A los diez años...,At the age of ten...
hace 10 minutos,10 minutes ago
hace mucho tiempo,long time ago
estoy de acuerdo,I agree with you
al aire libre,in the open air
A la vez,all at once
menos,All but
Tanto mejor,All the better
el es alérgico a,he is allergic to
no está permitido,it's not allowed
No se permite hablar,Talking not allowed
El todopoderoso,Almighty God
saldrá bien,it will be alright
¿Puedo irme ahora?,Is it alright to leave now?
¿Qué haces para entretenerte?,What do you do for amusement?
estar enojado con alguien,to be angry with someone
¿Por qué no contestas?,Why don't you answer?
¿Tienes alguna idea?,Do you have any idea at all?
¿Alguien que quiera hablar conmigo?,Anyone wants to chat with me?
"si puedo ayudarte de alguna manera, dímelo","if I can help you anyhow, let me know"
pedir hora con el doctor,make an appointment with the Dr
me gustaría hacer un apunte,I would like to make an appointment
el es tan alto como Juan,he is as tall as John
trabajo a tiempo completo como manager,I work full time as a ...
"estar apenado de, estar avergonzado de",to be ashamed of
le pedí dinero,I asked him for money
le pregunté dónde vivía,I asked him where he lives
¿Puedo hacerte una pregunta?,Can I ask you something?
es un gran valor para la compañía,she is an asset to our company
ser bueno/malo haciendo algo,be good/bad at something
no me gustan nada los perros,I don't like dogs at all
ser consiente de algo,be aware of something
¿Tienes habitaciones disponibles?,Do you have rooms available?
volverá mañana,she will be back tomorrow
regreso en un momentito,I'll be right back
¿cuándo volverás?,When are you coming back?
contestaron a la carta/la llamada,they wrote back (letters)
se me dan mal las matemáticas,I'm bad at math
se está quedando calvo,he is going bald
ir a la quiebra,go bankrupt
barrera lingüística,language barrier
¡No estés triste!,Don’t be sad!
dar una paliza a alguien,to beat someone up
ir a la cama,go to bed
no he estado en España,I've never been to Spain
tengo tres años estudiando,I've been studying Spanish for...
Español,Spanish
No te creo. Me crees ¿verdad?,I don't believe you
te las tendrás que arreglar,you will have to do without
hacer todo lo posible,do one's best
¡buena suerte! Que te vaya bien!,All the best!
apuesto a que no viene,I bet he doesn't come
estoy haciendo progresos,I'm getting better
sería mejor que pidieras permiso,you had better ask for permission
la cuenta por favor,The bill please!
Mi tierra natal...,The land of my birth...
¿Fecha de nacimiento?,Date of birth?
¡Feliz cumpleaños!,Happy birthday!
platicamos un rato/ ratito,let's chat for a bit
estaré allí dentro de un rato,I'll be there in a bit
culpar a alguien de algo,blame someone for something
¡Jesús! qué ¡Dios te bendiga!,Bless you!
a sangre fría,in cold blood
¡Qué aproveche! ¡Buen provecho!,Bon appétit!
tengo una habitación reservada,I booked a room
"me aburro, estoy aburrido",I'm bored
¿Dónde naciste?,Where were you born?
nací en mil novecientos setenta y nueve,I was born in 1979
yo nací en Italia pero voy muy seguido a Méx,"I was born in Italy, but go often to Mex"
yo nací en Francia pero vivo en los EU,I was born in France but live in the US
¿Te molesta si fumo/ si mi siento aquí?,Does it bother you if I smoke?
en la parte inferior de la pantalla,at the bottom of the screen
¡Nos trae (más pan)!,"Please, bring us..!"
sólo estoy mirando,I'm just browsing
tener un presupuesto limitado,be on a budget
estoy aquí por razón de trabajo,I'm here for business
no es asunto/cosa tuyo/a,it's none of your business
sacar una entrada,buy a ticket
¿dónde venden tarjetas telefónicas?,Where can I buy...?
lo hice yo solito,I did it by myself
a propósito,by the way
una llamada interurbana,long distance call
¿Cómo se llama a esto en español?,What’s that called?
debemos telefonear a una ambulancia,we must call for an ambulance
le volveré a llamar más tarde/mañana,I will call back later/tomorrow
"tienes una llamada, te llaman",there is a call for u
te llamaré mañana,I'll give you a call tomorrow
le llamó mentiroso,he called him a liar
te dijeron maricón de mierda,they called you gay
ese estúpido me llama perra,this stupid calls me bitch
pero me llaman Juan,but they call me John
¿De parte de quién?,And who's calling?
¡Cálmate!,Calm down!
estoy llegando del trabajo,I came from work
¿Puede volver a llamar más tarde?,Can you call again later?
¿Me oyes?,Can you hear me?
debe haber un error,that can't be right
¿Puedo...?,Can I...?
¡Cuídate! ¡Cuidados!,Take care!
¡Ten Cuidado!,Be careful!
en ese caso,in that case
pagar en efectivo,pay in cash
recuperar sueño,catch up on one's sleep
no voy a correr ningún riesgo,I'm not taking any chances
para variar,for a change
¿Pagará en efectivo o con tarjeta?,Will that be cash or charge?
¡Anímate!,Cheer up!
¡Salud!,Cheers!
hace fresquito hoy,it's chilly today
no tuve alternativa,I had no choice
¡Feliz navidad!,Merry Christmas!
¡está cerca?,Is it close?
no tengo ni idea,no clue
tengo frío,I'm cold
"estoy resfriado, tengo un resfriado",I have a cold
¡venga aquí! ¡ven acá!,Come here!
¿Cómo es eso? ¿Por qué? ¿y eso?,How come?
¡entre! ¡adelante!,Come in!
"¡vamos, hombre! estás exagerando","come on, you're exaggerating"
¡anda! Dime.,Come on! tell me
tener algo en común con alguien,have something in common
comparado con,Compared with...
no somos compatibles,we're not compatible
Por lo que toca....,Concerning...
tengo algo que confesar,I have a confession to make
felicidades por,congratulations on
Se considera que es.........,It’s considered to be...
tomar algo en consideración,take something into consideration
soy un buen cocinero,I'm a good cook
¿Es correcto decir....?,Is it correct to say...?
tienes razón,you're correct
cuesta demasiado,it costs too much
Me gustaría visitar algún día tu país,I'd like to visit your country one day
¡Claro! ¡Claro que si! ¡Por supuesto!,Of course!
¿Aceptas tarjetas de crédito?,Do you accept credit card?
se me ha cortado la comunicación,I was cut off
me he cortado el pelo/dedo,I had my hair cut
se ha cortado,we were cut off
eso te queda muy mono,it looks really cute on u
estás perjudicando tu salud,you're damaging your health
¡Me importa un pimiento!,I don't give a damn!
¡Maldita sea!,damn it
¡Cómo te atreves!,How dare you!
sí cariño,Yes my darling!
"pasado de moda (ropa), caducado (passport)",out of date
¿Qué fecha/día es hoy?,What’s today's date?
Día tras día....,day after day
es una ocasión,it's a good deal
